dt,network_name,rewards_usd
2025-07-27,,1e-05
2025-07-28,Tanssi Network,5760.0750141760345
2025-07-28,,1e-05
2025-07-29,,1e-05
2025-07-30,,1e-05
2025-07-31,,1e-05
2025-08-01,,1e-05
2025-08-02,,1e-05
2025-08-03,,1e-05
2025-08-04,,1e-05
2025-08-05,,1e-05
2025-08-06,,1e-05
2025-08-07,,1e-05
2025-08-08,Tanssi Network,39441.80682944546
2025-08-08,,1e-05
2025-08-09,,1e-05
2025-08-10,,1e-05
2025-08-11,,1e-05
2025-08-12,Tanssi Network,977.5336527752853
2025-08-12,,1e-05
2025-08-13,Tanssi Network,7970.065836723423
2025-08-13,,1e-05
2025-08-14,,1e-05
2025-08-15,,1e-05
2025-08-16,Tanssi Network,3387.168605190004
2025-08-16,,1e-05
2025-08-17,,1e-05
2025-08-18,Hyperlane,614146.25
2025-08-18,,1e-05
2025-08-19,,1e-05
2025-08-20,Tanssi Network,18540.84393545424
2025-08-20,,1e-05
2025-08-21,Tanssi Network,1752.4669394178745
2025-08-21,,1e-05
2025-08-22,Tanssi Network,16411.210777043147
2025-08-22,,1e-05
2025-08-23,Tanssi Network,703.3957673131708
2025-08-23,,1e-05
2025-08-24,Tanssi Network,1461.395959510351
2025-08-24,,1e-05
2025-08-25,Tanssi Network,12434.32508982552
2025-08-25,,1e-05
2025-08-26,Tanssi Network,601.5695884730648
2025-08-26,,1e-05
2025-08-27,Tanssi Network,1811.012053308701
2025-08-27,,1e-05
2025-08-28,Tanssi Network,645.1370461904963
2025-08-28,,1e-05
2025-08-29,Cap,0.06404648483916663
2025-08-29,Tanssi Network,10030.742747838145
2025-08-29,,1e-05
2025-08-30,,1e-05
2025-08-31,Tanssi Network,1307.151308920738
2025-08-31,,1e-05
2025-09-01,Cap,0.00032897168266666674
2025-09-01,Tanssi Network,25877.384151525323
2025-09-01,,1e-05
2025-09-02,Cap,0.16947798281700008
2025-09-02,Tanssi Network,606.0913962541755
2025-09-02,,1e-05
2025-09-03,Tanssi Network,9835.37495347541
2025-09-03,,1e-05
2025-09-04,Cap,0.18415717865925002
2025-09-04,Tanssi Network,579.2356561037965
2025-09-04,,1e-05
2025-09-05,Cap,55.569921978334335
2025-09-05,Tanssi Network,649.4852426668162
2025-09-05,,1e-05
2025-09-06,Tanssi Network,5608.3018600449495
2025-09-06,,1e-05
2025-09-07,Cap,548.3354080707012
2025-09-07,Tanssi Network,647.9467326847464
2025-09-07,,1e-05
2025-09-08,Cap,261.29617343408813
2025-09-08,Tanssi Network,1361.5840315737996
2025-09-08,,1e-05
2025-09-09,Cap,0.09145518826000006
2025-09-09,Tanssi Network,691.3714625129833
2025-09-09,,1e-05
2025-09-10,Cap,0.007092111010666666
2025-09-10,Tanssi Network,711.1413631465819
2025-09-10,,1e-05
2025-09-11,Cap,0.050235098825999996
2025-09-11,Tanssi Network,732.3203935567659
2025-09-11,,1e-05
2025-09-12,Cap,1180.2542510411372
2025-09-12,Tanssi Network,789.0266670664563
2025-09-12,,1e-05
2025-09-13,Tanssi Network,911.8374991753859
2025-09-13,,1e-05
2025-09-14,Tanssi Network,7319.290106094934
2025-09-14,,1e-05
2025-09-15,Cap,804.6584532671783
2025-09-15,Tanssi Network,745.709583042078
2025-09-15,,1e-05
2025-09-16,Tanssi Network,723.7267209533784
2025-09-16,,1e-05
2025-09-17,Tanssi Network,12673.987961807466
2025-09-17,,1e-05
2025-09-18,Tanssi Network,22205.042861602156
2025-09-18,,1e-05
2025-09-19,Cap,2479.288989221778
2025-09-19,Tanssi Network,793.3246960659261
2025-09-19,,1e-05
2025-09-20,Tanssi Network,761.8068580009833
2025-09-20,,1e-05
2025-09-21,Cap,367.19030255698425
2025-09-21,Tanssi Network,750.9020404198308
2025-09-21,,1e-05
2025-09-22,Tanssi Network,669.3259869219308
2025-09-22,,1e-05
2025-09-23,Cap,561.4547176469883
2025-09-23,Tanssi Network,6731.931130764797
2025-09-23,,1e-05
2025-09-24,Tanssi Network,5286.390273043766
2025-09-24,,1e-05
2025-09-25,Tanssi Network,635.4531960424742
2025-09-25,,1e-05
2025-09-26,Cap,1998.9182326239718
2025-09-26,Tanssi Network,670.5602517475005
2025-09-26,,1e-05
2025-09-27,Tanssi Network,662.9177683339121
2025-09-27,,1e-05
2025-09-28,Tanssi Network,7476.038146194611
2025-09-28,,1e-05
2025-09-29,Tanssi Network,667.3330486327256
2025-09-29,,1e-05
2025-09-30,Tanssi Network,652.6441028225071
2025-09-30,,1e-05
2025-10-01,Tanssi Network,5810.6771682505805
2025-10-01,,1e-05
2025-10-02,Tanssi Network,661.3507066762303
2025-10-02,,1e-05
2025-10-03,Cap,2001.6605333313973
2025-10-03,Tanssi Network,679.6533353990067
2025-10-03,,1e-05
2025-10-04,Cap,0.0905973390531667
2025-10-04,Tanssi Network,488.79755604758344
2025-10-04,,1e-05
2025-10-05,Tanssi Network,1464.502388180877
2025-10-05,,1e-05
2025-10-06,Tanssi Network,2340.7295553412036
2025-10-06,,1e-05
2025-10-07,Tanssi Network,2783.208600858723
2025-10-07,,1e-05
2025-10-08,Cap,0.04487326177308335
2025-10-08,Tanssi Network,9403.753867760057
2025-10-08,,1e-05
2025-10-09,Tanssi Network,13296.541769444419
2025-10-09,,1e-05
2025-10-10,Cap,2006.5376599756805
2025-10-10,Tanssi Network,1978.4916640840875
2025-10-10,,1e-05
2025-10-11,Tanssi Network,666.5499607130051
2025-10-11,,1e-05
2025-10-12,Tanssi Network,1900.997966338755
2025-10-12,,1e-05
2025-10-13,Tanssi Network,815.4803798348979
2025-10-13,,1e-05
2025-10-14,Tanssi Network,1530.254055155578
2025-10-14,,1e-05
2025-10-15,Tanssi Network,2076.1070512776646
2025-10-15,,1e-05
2025-10-16,Cap,5209.292877750605
2025-10-16,Tanssi Network,1863.756084616797
2025-10-16,,1e-05
2025-10-17,Cap,2008.8626444943181
2025-10-17,Tanssi Network,1505.3042865114912
2025-10-17,,1e-05
2025-10-18,Tanssi Network,3769.230641072176
2025-10-18,,1e-05
2025-10-19,Cap,0.7128754561279163
2025-10-19,Tanssi Network,724.0711235113338
2025-10-19,,1e-05
2025-10-20,Tanssi Network,634.3907123861976
2025-10-20,,1e-05
2025-10-21,Cap,10366.62291919634
2025-10-21,Tanssi Network,2658.296418260228
2025-10-21,,1e-05
2025-10-22,Hyperlane,347769.7738848001
2025-10-22,Tanssi Network,181.2518523339898
2025-10-22,,1e-05
2025-10-23,Tanssi Network,736.2041328821265
2025-10-23,,1e-05
2025-10-24,Cap,1940.6420967864042
2025-10-24,Tanssi Network,1220.1785197895401
2025-10-24,,1e-05
2025-10-25,Tanssi Network,2130.2055632839
2025-10-25,,1e-05
2025-10-26,Tanssi Network,3458.316791465615
2025-10-26,,1e-05
2025-10-27,Cap,0.06490464929433332
2025-10-27,Tanssi Network,1289.424291184252
2025-10-27,,1e-05
2025-10-28,Cap,2717.5007115162916
2025-10-28,Tanssi Network,8275.05410230553
2025-10-28,,1e-05
2025-10-29,Tanssi Network,297.1877212572058
2025-10-29,,1e-05
2025-10-30,Cap,252.59474073851803
2025-10-30,Tanssi Network,4136.9372375282965
2025-10-30,,1e-05
2025-10-31,Cap,2028.9094945652892
2025-10-31,Tanssi Network,1570.1105186812292
2025-10-31,,1e-05
2025-11-01,Tanssi Network,137.44311745849902
2025-11-01,,1e-05
2025-11-02,Tanssi Network,2400.6053344903057
2025-11-02,,1e-05
2025-11-03,Tanssi Network,1115.5323212175572
2025-11-03,,1e-05
2025-11-04,Tanssi Network,101.55335586627956
2025-11-04,,1e-05
2025-11-05,Cap,3291.4719415033824
2025-11-05,Tanssi Network,614.3121391821994
2025-11-05,,1e-05
2025-11-06,Cap,10573.2063553039
2025-11-06,Tanssi Network,599.3994999243439
2025-11-06,,1e-05
2025-11-07,Cap,577.8185699544032
2025-11-07,Tanssi Network,107.5961743101929
2025-11-07,,1e-05
2025-11-08,Tanssi Network,1942.5278609151842
2025-11-08,,1e-05
2025-11-09,Cap,1226.261400105092
2025-11-09,Tanssi Network,1931.3760487785648
2025-11-09,,1e-05
2025-11-10,Cap,4159.768271304194
2025-11-10,Tanssi Network,2945.8540022867674
2025-11-10,,1e-05
2025-11-11,Tanssi Network,191.39783994095234
2025-11-11,,1e-05
2025-11-12,Tanssi Network,91.4840202540825
2025-11-12,,1e-05
2025-11-13,Cap,359.75740753097494
2025-11-13,Tanssi Network,857.9290252402747
2025-11-13,,1e-05
2025-11-14,Tanssi Network,2126.4836999761633
2025-11-14,,1e-05
2025-11-15,Tanssi Network,467.3273573907867
2025-11-15,,1e-05
2025-11-16,Tanssi Network,792.031433172923
2025-11-16,,1e-05
2025-11-17,Hyperlane,9.935988301325
2025-11-17,Tanssi Network,1697.533497227742
2025-11-17,,1e-05
2025-11-18,Cap,535.0849910128255
2025-11-18,Tanssi Network,2853.3340488654517
2025-11-18,,1e-05
2025-11-19,Cap,0.5786133269519995
2025-11-19,Tanssi Network,516.0698793433935
2025-11-19,,1e-05
2025-11-20,Cap,3095.9782480868407
2025-11-20,Tanssi Network,74.57616744836855
2025-11-20,,1e-05
2025-11-21,Cap,8461.06959276738
2025-11-21,Tanssi Network,353.60577490458365
2025-11-21,,1e-05
2025-11-22,Tanssi Network,69.7305739484167
2025-11-22,,1e-05
2025-11-23,Tanssi Network,71.43678163974376
2025-11-23,,1e-05
2025-11-24,Tanssi Network,1047.7233349658811
2025-11-24,,1e-05
2025-11-25,Tanssi Network,2098.857783165045
2025-11-25,,1e-05
2025-11-26,Cap,1500.9796927074435
2025-11-26,Tanssi Network,4485.731427714396
2025-11-26,,1e-05
2025-11-27,Cap,1120.3725945682534
2025-11-27,Tanssi Network,4690.725501416654
2025-11-27,,1e-05
2025-11-28,Tanssi Network,999.1458490166917
2025-11-28,,1e-05
2025-11-29,Tanssi Network,52.981412782320966
2025-11-29,,1e-05
2025-11-30,Tanssi Network,52.52442894232101
2025-11-30,,1e-05
2025-12-01,Tanssi Network,521.7053983284515
2025-12-01,,1e-05
2025-12-02,Tanssi Network,3453.1620263431596
2025-12-02,,1e-05
2025-12-03,Tanssi Network,815.5705003634062
2025-12-03,,1e-05
2025-12-04,Tanssi Network,12565.966248617831
2025-12-04,,1e-05
2025-12-05,Tanssi Network,1048.2252805561739
2025-12-05,,1e-05
2025-12-06,Tanssi Network,496.7448043142794
2025-12-06,,1e-05
2025-12-07,Tanssi Network,140.72699482607675
2025-12-07,,1e-05
